SR_NODD,CURRENT_STATUS,OFF_NAME,AGENCY_TYPE,STATE_NM,APP_ID,APP_NAME,BENF_TYPE_DESC,GENDER,BENF_CATEGORY_DESC,BENF_SPECIAL_CD,DOB,MOBILE,UNIT_ADDR,UNIT_TALUK_BLOCK,DISTRICT_NAME,IND_TYPE,ACTIVITY_NAME,PROD_DESC,IFSC_CODE,BANK_NAME,BANK_ADDRESS,BANK_F_DATE,PROJ_COST,TOT_SAMC_FB,CGTSI,IST_LOAN_REL,MM_CLAIM_DT,MM_CLAIM_AMT,MM_REL_DT,MM_REL_AMT,EDP_TRG_NM,EDP_CERT_DT,CERT_TYPE,ONLINE_PROMO,TEL_NO,E_MAIL,IND_GRP_LONG_DESC,APR_YR,ANNUAL_TURNOVER,SUSTAINABILITY_SCORE,OPERATIONAL_STATUS,EMPLOYMENT_AT_SETUP,MARGIN_MONEY_SUBSIDY_RS,SECTOR
11,Closed,Office_11,KVIC,MADHYA PRADESH,APP2025422473,Applicant_11,Individual,Male,General,PWD,1969-10-03,9859468541,Address_164,Block_C,District_33,Rural,Video & Photo Studio,Product_41,IFSC558154,SBI,Bank_Address_184,2020-04-02,2146637,268590,316118,Partial,2021-01-15,627422,2022-12-01,1352458,Training_31,2020-08-17,A,No,0239682015,applicant_11@email.com,Retail,2025-26,4482151,85.30360773191312,Non-Operational,18,1367588,Services
12,Operational,Office_79,KVIC,TAMIL NADU,APP2025466421,Applicant_12,Individual,Female,SC,PWD,1990-03-15,9852024326,Address_102,Block_C,District_19,Urban,Handicraft,Product_25,IFSC569345,SBI,Bank_Address_177,2021-01-11,1564100,1434399,91739,No,2020-05-22,718816,2020-02-11,1256985,Training_25,2022-03-03,A,Yes,0237362546,applicant_12@email.com,Retail,2024-25,2450589,68.34647386592121,Closed,4,611225,Manufacturing
13,Non-Operational,Office_78,State,MADHYA PRADESH,APP2025511034,Applicant_13,Individual,Female,General,NA,1970-12-24,9824663495,Address_315,Block_B,District_14,Urban,Tourism Services,Product_77,IFSC265456,Canara Bank,Bank_Address_151,2022-03-08,673688,851314,134983,Yes,2020-04-13,190278,2020-08-26,265584,Training_45,2022-09-30,A,Yes,0398115207,applicant_13@email.com,Services,2023-24,2709804,51.5015093725681,Operational,13,1381870,Services
14,Operational,Office_82,DIC,KERALA,APP2025751863,Applicant_14,Individual,Female,ST,NA,1988-01-02,9816293861,Address_104,Block_A,District_29,Rural,Education Center,Product_9,IFSC651015,ICICI Bank,Bank_Address_72,2022-07-30,2246915,180060,37085,Yes,2023-03-24,1584409,2020-05-20,57340,Training_47,2023-04-07,A,No,0222327951,applicant_14@email.com,Manufacturing,2023-24,4063231,71.14606204395729,Non-Operational,2,1459110,Services
15,Non-Operational,Office_63,State,TAMIL NADU,APP2025483034,Applicant_15,Individual,Female,SC,PWD,2005-07-25,9816822687,Address_293,Block_D,District_24,Urban,Textile Unit,Product_37,IFSC516508,Bank of Baroda,Bank_Address_74,2021-11-27,983113,193171,335630,No,2020-10-12,1499528,2020-04-17,199188,Training_43,2020-01-17,C,No,0317209191,applicant_15@email.com,Agro-based,2023-24,3394134,20.39187476266562,Closed,13,1082526,Manufacturing
16,Operational,Office_40,KVIC,JAMMU & KASHMIR,APP2025851303,Applicant_16,Individual,Female,ST,EX-SERVICEMAN,2000-04-04,9821541536,Address_172,Block_D,District_46,Rural,Food Processing,Product_14,IFSC127861,Axis Bank,Bank_Address_37,2020-02-05,267655,903060,453753,Partial,2022-02-23,327495,2022-07-05,686658,Training_34,2022-03-30,C,Yes,0218761704,applicant_16@email.com,Services,2025-26,3808000,24.50547049477808,Operational,6,406352,Manufacturing
17,Closed,Office_8,KVIB,ODISHA,APP2025379958,Applicant_17,Individual,Female,SC,NA,1975-04-01,9840464301,Address_372,Block_B,District_43,Rural,Handicraft,Product_50,IFSC510072,Bank of Baroda,Bank_Address_105,2020-10-08,1934523,117602,352739,No,2021-09-03,1465562,2023-11-28,340774,Training_42,2023-12-18,B,Yes,0291871397,applicant_17@email.com,Manufacturing,2023-24,2221575,18.075560594067706,Operational,17,449438,Manufacturing
18,Non-Operational,Office_14,DIC,JAMMU & KASHMIR,APP2025228059,Applicant_18,Individual,Male,OBC,PWD,2000-03-05,9844598398,Address_444,Block_B,District_31,Urban,Education Center,Product_70,IFSC798180,IndusInd Bank,Bank_Address_90,2020-06-27,437865,702559,314140,No,2022-03-11,1782001,2021-09-05,828804,Training_7,2020-09-03,B,No,0198479063,applicant_18@email.com,Services,2023-24,1213310,46.997652310380154,Operational,20,661111,Services
19,Operational,Office_94,DIC,MADHYA PRADESH,APP2025118975,Applicant_19,Individual,Male,Scheduled Caste,PWD,1975-06-11,9898764945,Address_78,Block_C,District_27,Rural,Food Processing,Product_95,IFSC376533,PNB,Bank_Address_163,2021-09-03,2497038,763307,254941,Partial,2021-02-23,367166,2022-04-16,331386,Training_34,2020-08-22,A,No,0164123333,applicant_19@email.com,Agro-based,2024-25,1102594,5.680629906522916,Operational,7,546176,Manufacturing
20,Operational,Office_97,Ministry,MAHARASHTRA,APP2025951883,Applicant_20,Individual,Male,Scheduled Caste,NA,1994-03-31,9816051693,Address_385,Block_B,District_34,Rural,Retail Trading,Product_51,IFSC433884,PNB,Bank_Address_58,2022-07-24,2108515,527026,439537,Yes,2022-11-17,1893137,2023-10-31,448119,Training_2,2023-12-04,B,No,0328085776,applicant_20@email.com,Manufacturing,2025-26,1353304,90.37940907186056,Operational,9,420400,Services
21,Closed,Office_19,KVIC,MAHARASHTRA,APP2025404124,Applicant_21,Individual,Male,ST,NA,2013-11-17,9878073708,Address_307,Block_A,District_4,Urban,Textile Unit,Product_57,IFSC239410,Kotak Bank,Bank_Address_43,2020-10-12,702044,1365777,47159,Partial,2022-12-29,1258130,2023-05-08,603802,Training_50,2022-01-18,NA,Yes,0172007206,applicant_21@email.com,Manufacturing,2024-25,2309100,17.05028902210939,Closed,8,881616,Manufacturing
22,Operational,Office_96,KVIB,ASSAM,APP2025727019,Applicant_22,Individual,Male,Scheduled Tribe,NA,1990-06-24,9825257544,Address_233,Block_B,District_40,Rural,Tourism Services,Product_95,IFSC130054,Bank of Baroda,Bank_Address_138,2022-02-20,442483,1423142,223470,Yes,2023-07-18,1520782,2020-05-24,1160103,Training_43,2022-04-07,A,No,0301598587,applicant_22@email.com,Retail,2023-24,357588,92.71939556912817,Closed,11,1434370,Services
23,Non-Operational,Office_19,DIC,WEST BENGAL,APP2025107430,Applicant_23,Individual,Male,ST,NA,1978-10-06,9850523460,Address_181,Block_B,District_26,Rural,E-commerce,Product_90,IFSC364483,Union Bank,Bank_Address_53,2022-02-12,2237970,120044,423759,Yes,2021-06-15,480820,2021-12-05,405868,Training_3,2022-05-20,A,No,0284202428,applicant_23@email.com,Retail,2024-25,3972860,96.86561304804232,Non-Operational,5,961435,Services
24,Closed,Office_27,DIC,WEST BENGAL,APP2025872566,Applicant_24,Individual,Female,OBC,PWD,1996-09-03,9813426522,Address_19,Block_A,District_23,Rural,Textile Unit,Product_33,IFSC881181,Bank of Baroda,Bank_Address_66,2023-07-30,199275,237906,142688,Yes,2020-01-30,227444,2020-09-09,945459,Training_7,2020-02-27,A,Yes,0282108361,applicant_24@email.com,Manufacturing,2024-25,835574,39.01902027332302,Operational,8,679013,Manufacturing
25,Closed,Office_48,KVIB,UTTAR PRADESH,APP2025171451,Applicant_25,Individual,Male,Scheduled Caste,NA,1988-06-09,9898662612,Address_50,Block_A,District_12,Urban,Service Business,Product_17,IFSC865276,Axis Bank,Bank_Address_182,2023-01-01,2083009,216334,128123,Partial,2023-06-02,1622118,2021-06-17,1145924,Training_46,2021-04-21,B,No,0261774277,applicant_25@email.com,Retail,2024-25,2608813,33.856696730849414,Closed,8,748577,Services
26,Non-Operational,Office_37,Ministry,KARNATAKA,APP2025726036,Applicant_26,Individual,Female,Scheduled Tribe,PWD,1991-04-09,9869518436,Address_365,Block_B,District_20,Rural,E-commerce,Product_21,IFSC655685,Kotak Bank,Bank_Address_99,2021-04-23,1175430,379649,109207,Partial,2021-01-04,1437599,2021-05-29,828108,Training_18,2021-10-25,NA,Yes,0353141901,applicant_26@email.com,Retail,2023-24,4020734,93.27040977187463,Closed,12,1230414,Services
27,Operational,Office_90,KVIC,ODISHA,APP2025190238,Applicant_27,Individual,Male,Scheduled Caste,NA,1999-05-05,9875995806,Address_40,Block_C,District_31,Rural,Education Center,Product_64,IFSC202541,PNB,Bank_Address_148,2023-09-13,339459,480001,322875,No,2022-01-12,1518553,2022-05-21,1085574,Training_41,2023-11-20,A,No,0252099712,applicant_27@email.com,Manufacturing,2025-26,3858428,50.609391071897925,Closed,20,284647,Services
28,Closed,Office_28,KVIB,MAHARASHTRA,APP2025807334,Applicant_28,Individual,Female,ST,PWD,1968-08-05,9834672612,Address_216,Block_A,District_22,Rural,Health Care,Product_16,IFSC183143,Axis Bank,Bank_Address_179,2021-11-18,1370002,261653,419320,Partial,2020-10-19,530281,2023-01-27,1444566,Training_22,2023-09-18,B,No,0305589341,applicant_28@email.com,Services,2025-26,3868231,1.9990162314969417,Closed,1,1269644,Services
29,Closed,Office_82,KVIC,KERALA,APP2025228954,Applicant_29,Individual,Male,ST,EX-SERVICEMAN,1974-01-23,9812750597,Address_235,Block_C,District_3,Rural,Tourism Services,Product_1,IFSC887794,Kotak Bank,Bank_Address_39,2023-02-20,1143330,973343,72110,Partial,2020-09-19,568691,2020-09-26,1409840,Training_48,2022-08-10,A,Yes,0143913943,applicant_29@email.com,Agro-based,2024-25,3852929,83.61114144668939,Operational,6,230739,Services
30,Closed,Office_26,KVIB,WEST BENGAL,APP2025590489,Applicant_30,Individual,Male,Scheduled Tribe,NA,2011-05-05,9886865241,Address_118,Block_D,District_26,Rural,E-commerce,Product_99,IFSC871335,HDFC Bank,Bank_Address_100,2022-04-09,719394,1388564,39400,Yes,2020-05-18,1980405,2020-10-12,296802,Training_11,2021-09-28,A,No,0316200500,applicant_30@email.com,Services,2024-25,2255032,26.086059143030848,Non-Operational,4,223232,Services
31,Closed,Office_40,DIC,RAJASTHAN,APP2025480677,Applicant_31,Individual,Male,Scheduled Tribe,EX-SERVICEMAN,2001-02-11,9840071914,Address_103,Block_B,District_35,Urban,Tourism Services,Product_37,IFSC878756,ICICI Bank,Bank_Address_158,2020-10-03,1504282,251005,400377,Yes,2020-05-28,600251,2020-05-16,861239,Training_7,2021-06-08,NA,No,0341975815,applicant_31@email.com,Services,2023-24,531798,68.36918481206013,Operational,15,1212478,Services
32,Closed,Office_73,KVIB,ANDHRA PRADESH,APP2025320173,Applicant_32,Individual,Male,OBC,NA,1963-02-03,9837771649,Address_80,Block_D,District_31,Rural,Service Business,Product_20,IFSC876844,PNB,Bank_Address_28,2020-05-10,397886,1340486,245197,Partial,2023-05-01,198261,2022-10-22,529522,Training_16,2023-09-22,A,Yes,0247303425,applicant_32@email.com,Retail,2023-24,2220466,79.2719850426162,Closed,7,436410,Services
33,Non-Operational,Office_56,DIC,KARNATAKA,APP2025916465,Applicant_33,Individual,Female,SC,NA,1991-11-12,9835188117,Address_121,Block_B,District_4,Rural,Service Business,Product_31,IFSC301007,SBI,Bank_Address_84,2020-10-29,425761,1080782,421207,No,2021-01-05,894892,2023-12-12,974621,Training_38,2023-09-21,B,Yes,0284933070,applicant_33@email.com,Services,2023-24,567581,68.15977209385399,Closed,1,955512,Services
34,Closed,Office_34,DIC,MAHARASHTRA,APP2025364612,Applicant_34,Individual,Female,Scheduled Tribe,NA,1968-07-04,9810170028,Address_366,Block_D,District_6,Urban,Video & Photo Studio,Product_10,IFSC680980,Axis Bank,Bank_Address_40,2020-07-24,867331,1346622,74565,Yes,2022-08-22,159398,2021-12-22,1036761,Training_10,2022-01-27,C,Yes,0403687121,applicant_34@email.com,Manufacturing,2023-24,2520684,20.572699972619525,Operational,8,347000,Services
35,Closed,Office_95,KVIC,RAJASTHAN,APP2025302117,Applicant_35,Individual,Male,Scheduled Caste,EX-SERVICEMAN,1986-01-10,9875574293,Address_469,Block_C,District_48,Rural,Food Processing,Product_14,IFSC358819,SBI,Bank_Address_145,2020-06-11,496808,1435744,367531,No,2023-04-08,1200454,2020-05-24,1119866,Training_2,2023-09-01,C,Yes,0234837523,applicant_35@email.com,Manufacturing,2023-24,3940621,46.680754990272014,Non-Operational,10,889584,Manufacturing
36,Operational,Office_71,DIC,CHHATTISGARH,APP2025194084,Applicant_36,Individual,Female,Scheduled Tribe,EX-SERVICEMAN,1983-02-04,9871041535,Address_435,Block_C,District_47,Urban,Education Center,Product_74,IFSC713727,SBI,Bank_Address_174,2021-04-04,1118185,739361,208704,Partial,2020-11-25,1068108,2020-02-23,1428315,Training_45,2022-06-15,A,Yes,0303795983,applicant_36@email.com,Agro-based,2023-24,2150860,20.722150618193623,Operational,11,1221844,Services
37,Operational,Office_29,KVIB,KARNATAKA,APP2025973830,Applicant_37,Individual,Female,SC,EX-SERVICEMAN,2010-11-04,9821530832,Address_313,Block_B,District_17,Rural,Service Business,Product_79,IFSC698972,Union Bank,Bank_Address_5,2021-10-16,745267,761881,121688,Yes,2023-05-15,1968997,2021-04-26,687013,Training_25,2023-11-10,NA,Yes,0339578806,applicant_37@email.com,Retail,2023-24,1804319,54.73563048781924,Operational,2,504825,Services
38,Non-Operational,Office_22,Ministry,ASSAM,APP2025785478,Applicant_38,Individual,Male,SC,NA,1985-04-23,9837461363,Address_225,Block_A,District_41,Urban,Manufacturing,Product_81,IFSC978563,Bank of Baroda,Bank_Address_58,2021-03-31,2101951,1044104,214910,Partial,2022-05-06,1501664,2023-05-14,1240913,Training_34,2021-08-06,B,Yes,0272234990,applicant_38@email.com,Retail,2024-25,1733132,40.439293329679536,Closed,14,384083,Manufacturing
39,Closed,Office_29,Ministry,BIHAR,APP2025447263,Applicant_39,Individual,Male,Scheduled Caste,EX-SERVICEMAN,1996-10-30,9851950714,Address_98,Block_D,District_16,Rural,Video & Photo Studio,Product_40,IFSC383348,Union Bank,Bank_Address_138,2023-06-23,1542093,1292579,98231,No,2021-07-16,932695,2022-08-20,318398,Training_25,2022-12-01,NA,No,0131030920,applicant_39@email.com,Agro-based,2024-25,4596773,67.85644793580043,Closed,6,510592,Services
40,Non-Operational,Office_98,Ministry,HIMACHAL PRADESH,APP2025257561,Applicant_40,Individual,Male,Scheduled Tribe,PWD,1993-04-24,9869936877,Address_399,Block_B,District_44,Rural,Handicraft,Product_5,IFSC542951,Bank of Baroda,Bank_Address_119,2020-06-13,183383,539987,167994,No,2022-07-16,542336,2023-09-29,1275137,Training_19,2021-11-09,C,Yes,0381498606,applicant_40@email.com,Agro-based,2024-25,4442186,57.1446385396571,Closed,7,1328146,Manufacturing
41,Non-Operational,Office_12,State,PUNJAB,APP2025953132,Applicant_41,Individual,Female,Scheduled Tribe,EX-SERVICEMAN,1993-09-23,9833378179,Address_400,Block_D,District_35,Rural,Retail Trading,Product_2,IFSC191040,IndusInd Bank,Bank_Address_173,2020-07-23,1645594,398124,121910,Yes,2021-07-07,653986,2023-07-02,145195,Training_22,2023-06-30,NA,Yes,0286722759,applicant_41@email.com,Retail,2025-26,3024243,51.738243830895115,Non-Operational,11,1452356,Services
42,Operational,Office_35,KVIB,TAMIL NADU,APP2025210156,Applicant_42,Individual,Male,SC,PWD,2010-05-09,9890403978,Address_49,Block_B,District_45,Rural,Handicraft,Product_20,IFSC197424,Canara Bank,Bank_Address_90,2021-04-23,414072,1136048,76191,Partial,2022-11-24,1595832,2020-10-14,75355,Training_18,2023-09-14,C,Yes,0206185965,applicant_42@email.com,Retail,2024-25,2222130,41.46896744449175,Operational,4,619174,Manufacturing
43,Closed,Office_79,KVIC,ASSAM,APP2025130689,Applicant_43,Individual,Female,OBC,EX-SERVICEMAN,1976-12-21,9838476387,Address_169,Block_D,District_1,Urban,Textile Unit,Product_94,IFSC892459,IndusInd Bank,Bank_Address_96,2020-01-24,215935,1279674,376078,Partial,2022-09-22,1117923,2021-07-23,867022,Training_39,2021-11-16,C,Yes,0211735012,applicant_43@email.com,Agro-based,2023-24,1336476,38.36314757198588,Operational,13,1381941,Manufacturing
44,Non-Operational,Office_36,State,JHARKHAND,APP2025824230,Applicant_44,Individual,Female,Scheduled Caste,NA,1976-07-16,9841871737,Address_193,Block_A,District_42,Urban,Service Business,Product_40,IFSC805482,Bank of Baroda,Bank_Address_69,2023-03-07,626174,401289,227077,Partial,2020-10-10,1936714,2022-10-07,1138215,Training_19,2020-08-06,B,Yes,0282610749,applicant_44@email.com,Manufacturing,2025-26,1405765,50.464436181436476,Non-Operational,7,1153167,Services
45,Non-Operational,Office_58,KVIC,KERALA,APP2025232328,Applicant_45,Individual,Female,General,PWD,1986-04-23,9850008218,Address_355,Block_B,District_38,Urban,Education Center,Product_69,IFSC226523,Canara Bank,Bank_Address_140,2020-04-16,1843111,213064,436738,Partial,2021-01-05,1997173,2021-05-09,401310,Training_35,2022-03-13,NA,Yes,0156594560,applicant_45@email.com,Services,2025-26,4978503,29.442805403840055,Operational,10,233261,Services
46,Non-Operational,Office_97,Ministry,JAMMU & KASHMIR,APP2025336208,Applicant_46,Individual,Female,Scheduled Tribe,NA,2008-09-24,9817197142,Address_191,Block_A,District_13,Urban,Education Center,Product_98,IFSC590956,Axis Bank,Bank_Address_167,2022-05-18,1376649,1390285,411825,Partial,2022-06-30,1506092,2023-07-10,1071737,Training_5,2022-01-08,B,Yes,0309566799,applicant_46@email.com,Manufacturing,2025-26,2959184,83.69393752642691,Closed,16,253769,Services
47,Operational,Office_48,KVIB,CHHATTISGARH,APP2025260909,Applicant_47,Individual,Female,SC,PWD,2009-11-01,9830419279,Address_111,Block_A,District_25,Rural,Manufacturing,Product_13,IFSC526521,Kotak Bank,Bank_Address_40,2020-05-23,741836,169359,29397,Yes,2022-06-20,1402098,2022-04-12,663550,Training_9,2021-01-06,C,No,0343959058,applicant_47@email.com,Agro-based,2023-24,4136967,64.93878459685882,Closed,1,241200,Manufacturing
48,Non-Operational,Office_16,Ministry,ODISHA,APP2025254016,Applicant_48,Individual,Male,ST,PWD,1998-05-02,9895788113,Address_220,Block_B,District_49,Urban,Video & Photo Studio,Product_66,IFSC238995,HDFC Bank,Bank_Address_72,2023-09-07,2456513,1413175,436734,No,2020-05-27,568559,2021-02-18,951240,Training_37,2023-01-24,B,No,0328221189,applicant_48@email.com,Retail,2025-26,3047208,25.792340930123814,Non-Operational,2,1265459,Services
49,Closed,Office_28,KVIC,HIMACHAL PRADESH,APP2025339295,Applicant_49,Individual,Male,Scheduled Caste,PWD,1989-06-03,9897895552,Address_449,Block_B,District_34,Rural,Video & Photo Studio,Product_67,IFSC108985,Axis Bank,Bank_Address_152,2020-12-13,1901757,853189,159426,Yes,2021-09-06,245898,2023-06-18,188033,Training_13,2023-01-09,C,Yes,0352146183,applicant_49@email.com,Agro-based,2024-25,2287657,87.18481751272121,Closed,13,1334661,Services
50,Non-Operational,Office_46,KVIB,JAMMU & KASHMIR,APP2025937685,Applicant_50,Individual,Female,General,NA,1987-03-15,9817007807,Address_190,Block_A,District_24,Rural,Food Processing,Product_85,IFSC379568,IndusInd Bank,Bank_Address_130,2020-04-10,2200786,461999,441195,Partial,2021-05-16,1490779,2020-05-12,1179510,Training_4,2020-08-26,NA,Yes,0373598131,applicant_50@email.com,Agro-based,2024-25,2421026,38.67760072069952,Closed,11,406940,Manufacturing
51,Non-Operational,Office_91,DIC,JAMMU & KASHMIR,APP2025307441,Applicant_51,Individual,Female,Scheduled Tribe,NA,1962-10-27,9840017961,Address_208,Block_D,District_28,Rural,Retail Trading,Product_81,IFSC339593,Bank of Baroda,Bank_Address_84,2023-10-18,2217980,490069,143155,Partial,2022-05-17,462802,2020-06-11,1186821,Training_33,2022-01-21,A,No,0377972876,applicant_51@email.com,Retail,2024-25,1657163,11.241485852050548,Non-Operational,4,1000127,Services
52,Closed,Office_29,DIC,PUNJAB,APP2025677821,Applicant_52,Individual,Male,OBC,EX-SERVICEMAN,2012-06-21,9825046034,Address_205,Block_B,District_1,Urban,Video & Photo Studio,Product_24,IFSC892953,ICICI Bank,Bank_Address_35,2021-10-24,942484,160810,378717,Yes,2023-06-20,1592873,2023-12-02,53477,Training_24,2021-10-08,C,Yes,0319618389,applicant_52@email.com,Retail,2023-24,4756536,4.028367098094121,Non-Operational,13,1036747,Services
53,Non-Operational,Office_45,State,ANDHRA PRADESH,APP2025562864,Applicant_53,Individual,Female,General,NA,2013-04-14,9840538500,Address_172,Block_C,District_49,Urban,Handicraft,Product_8,IFSC142836,Axis Bank,Bank_Address_80,2021-12-23,148613,411554,482823,No,2022-01-30,1314177,2021-09-15,1416614,Training_22,2023-07-21,B,Yes,0116284486,applicant_53@email.com,Manufacturing,2023-24,944758,73.74080570870723,Closed,7,953590,Manufacturing
54,Non-Operational,Office_51,KVIB,HIMACHAL PRADESH,APP2025472990,Applicant_54,Individual,Female,SC,PWD,1995-10-17,9879263292,Address_365,Block_A,District_16,Urban,Handicraft,Product_23,IFSC899383,SBI,Bank_Address_39,2022-04-19,304774,808488,178687,Partial,2021-04-15,933007,2023-11-15,810272,Training_12,2022-10-31,NA,No,0144418379,applicant_54@email.com,Services,2025-26,3366819,15.508939690584667,Non-Operational,17,1061122,Manufacturing
55,Operational,Office_52,DIC,HIMACHAL PRADESH,APP2025617869,Applicant_55,Individual,Female,OBC,EX-SERVICEMAN,1993-02-20,9824054098,Address_250,Block_B,District_24,Rural,Service Business,Product_24,IFSC186505,Canara Bank,Bank_Address_129,2020-02-05,802699,618820,141405,Partial,2022-11-26,951193,2020-08-22,1367465,Training_42,2022-03-18,NA,Yes,0375686534,applicant_55@email.com,Services,2025-26,1752738,21.485112808422222,Operational,2,555803,Services
56,Operational,Office_15,Ministry,JAMMU & KASHMIR,APP2025230918,Applicant_56,Individual,Male,OBC,NA,1981-11-19,9830880075,Address_160,Block_B,District_50,Urban,Food Processing,Product_97,IFSC460831,HDFC Bank,Bank_Address_1,2023-12-14,1452455,669968,376281,Partial,2023-02-05,1393315,2020-10-29,1316276,Training_37,2020-09-21,B,Yes,0263991821,applicant_56@email.com,Services,2023-24,3341523,90.16888214126452,Closed,14,504603,Manufacturing
